No,data
142,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'teh', 'bubble tea', 'soda/soft drink', 'jus buah']"
143,"['bakso/batagor/siomay', 'bubur', 'buah potong/rujak', 'sate', 'jus buah']"
144,"['mie-miean', 'bakso/batagor/siomay', 'sate', 'gorengan lain', 'martabak', 'bubble tea']"
145,"['nasi goreng', 'mie-miean', 'ayam bakar/goreng/fried chicken', 'sate', 'gorengan lain', 'teh']"
146,"['nasi goreng', 'bakso/batagor/siomay', 'sate', 'teh']"
147,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'cendol', 'es doger']"
148,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'sate', 'jus buah']"
149,"['mie-miean', 'bakso/batagor/siomay', 'bubur', 'tahu', 'sate', 'cendol', 'es doger']"
150,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur', 'teh', 'kopi', 'susu', 'jus buah']"
151,"['bakso/batagor/siomay', 'bubur', 'sate', 'teh']"
152,"['mie-miean', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'soto/sop/makanan berkuah lainnya', 'teh']"
153,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'cendol', 'es campur', 'teh']"
154,"['nasi-nasian', 'teh']"
155,"['bakso/batagor/siomay', 'es doger', 'jus buah']"
156,"['nasi goreng', 'mie kuah', 'bubur', 'sate', 'soto/sop/makanan berkuah lainnya', 'minuman air']"
157,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'jagung', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'cendol', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
158,"['nasi goreng', 'bakso/batagor/siomay', 'sate', 'teh']"
159,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh']"
160,"['nasi goreng', 'bakso/batagor/siomay', 'gorengan lain', 'cendol', 'es campur', 'kopi', 'bubble tea', 'susu']"
161,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'teh', 'bubble tea', 'soda/soft drink', 'susu']"
162,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'sate', 'teh', 'jus buah']"
163,"['nasi goreng', 'bakso/batagor/siomay', 'gorengan lain', 'es campur', 'es doger', 'jus buah']"
164,"['nasi goreng', 'buah potong/rujak', 'es krim', 'sate', 'teh', 'kopi', 'bubble tea', 'susu']"
165,"['mie-miean', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'gorengan lain', 'kopi']"
166,"['nasi goreng', 'mie kuah', 'bubur', 'sate', 'soto/sop/makanan berkuah lainnya', 'teh', 'minuman air']"
167,"['mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'cendol', 'es campur', 'jus buah']"
