No,data,rating
91,nasi goreng,5
91,mie-miean,5
91,bakso/batagor/siomay,5
91,bubur,5
91,seblak,5
91,gorengan lain,5
91,es campur,5
91,es doger,5
91,teh,5
91,bubble tea,5
91,soda/soft drink,5
91,jus buah,5
92,mie-miean,5
92,bakso/batagor/siomay,5
92,kebab,5
92,cendol,5
92,teh,5
93,nasi goreng,5
93,mie kuah,5
93,bakso/batagor/siomay,5
93,bubur,5
93,ayam bakar/goreng/fried chicken,5
93,sate,5
93,gorengan lain,5
93,bubble tea,5
93,soda/soft drink,5
93,susu,5
93,jus buah,5
94,nasi goreng,5
94,mie kuah,5
94,nasi-nasian,5
94,mie-miean,5
94,bakso/batagor/siomay,5
94,ayam bakar/goreng/fried chicken,5
94,roti bakar/kukus,5
94,es krim,5
94,jagung,5
94,kacang,5
94,ubi,5
94,tahu,5
94,sate,5
94,gorengan lain,5
94,cendol,5
94,es campur,5
94,es doger,5
94,teh,5
94,kopi,5
94,bubble tea,5
94,soda/soft drink,5
94,susu,5
94,jus buah,5
95,nasi goreng,5
95,mie kuah,5
95,nasi-nasian,5
95,mie-miean,5
95,bakso/batagor/siomay,5
95,ayam bakar/goreng/fried chicken,5
95,es campur,5
95,bubble tea,5
95,susu,5
96,nasi goreng,5
96,mie-miean,5
96,bakso/batagor/siomay,5
96,ayam bakar/goreng/fried chicken,5
96,sate,5
96,es campur,5
96,es doger,5
96,teh,5
96,susu,5
96,jus buah,5
97,ayam bakar/goreng/fried chicken,5
97,roti bakar/kukus,5
97,tahu,5
97,gorengan lain,5
97,kopi,5
97,susu,5
98,nasi goreng,5
98,bubur,5
98,buah potong/rujak,5
98,ubi,5
98,minuman air,5
99,nasi goreng,5
99,kue-kue,5
99,roti bakar/kukus,5
99,gorengan lain,5
99,seblak,5
99,jus buah,5
100,nasi goreng,5
100,bakso/batagor/siomay,5
100,gorengan lain,5
100,cendol,5
100,es campur,5
100,es doger,5
100,bubble tea,5
101,nasi goreng,5
101,bakso/batagor/siomay,5
101,bubur,5
101,ayam bakar/goreng/fried chicken,5
101,kue-kue,5
101,es krim,5
101,ubi,5
101,tahu,5
101,sate,5
101,cendol,5
101,minuman air,5
102,nasi goreng,5
102,bakso/batagor/siomay,5
102,kue-kue,5
102,buah potong/rujak,5
102,roti bakar/kukus,5
102,tahu,5
102,sate,5
102,cendol,5
102,es campur,5
102,es doger,5
103,nasi goreng,5
103,mie-miean,5
103,bakso/batagor/siomay,5
103,kue-kue,5
103,cendol,5
103,es campur,5
103,air kelapa,5
104,nasi goreng,5
104,mie kuah,5
104,nasi-nasian,5
104,mie-miean,5
104,bakso/batagor/siomay,5
104,bubur,5
104,kue-kue,5
104,buah potong/rujak,5
104,roti bakar/kukus,5
104,jagung,5
104,kacang,5
104,ubi,5
104,cendol,5
104,es campur,5
104,bubble tea,5
104,susu,5
104,jus buah,5
105,nasi goreng,5
105,nasi-nasian,5
105,bakso/batagor/siomay,5
105,bubur,5
105,sate,5
105,gorengan lain,5
105,cendol,5
105,es campur,5
105,es doger,5
105,bubble tea,5
105,jus buah,5
106,nasi-nasian,5
106,kue-kue,5
106,tahu,5
106,cendol,5
106,es campur,5
106,es doger,5
106,teh,5
106,jus buah,5
107,nasi goreng,5
107,bakso/batagor/siomay,5
107,sate,5
107,gorengan lain,5
107,es campur,5
107,teh,5
107,soda/soft drink,5
107,jus buah,5
108,mie-miean,5
108,bakso/batagor/siomay,5
108,ayam bakar/goreng/fried chicken,5
108,roti bakar/kukus,5
108,tahu,5
108,sate,5
108,cendol,5
108,kopi,5
108,bubble tea,5
109,nasi goreng,5
109,mie kuah,5
109,nasi-nasian,5
109,mie-miean,5
109,bakso/batagor/siomay,5
109,bubur,5
109,ayam bakar/goreng/fried chicken,5
109,buah potong/rujak,5
109,es krim,5
109,sate,5
109,gorengan lain,5
109,teh,5
109,soda/soft drink,5
109,jus buah,5
110,nasi goreng,5
110,bakso/batagor/siomay,5
110,bubur,5
110,ayam bakar/goreng/fried chicken,5
110,kue-kue,5
110,es krim,5
110,tahu,5
110,sate,5
110,gorengan lain,5
110,seblak,5
110,teh,5
110,bubble tea,5
110,soda/soft drink,5
110,kopi,5
111,nasi goreng,5
111,mie-miean,5
111,ayam bakar/goreng/fried chicken,5
111,buah potong/rujak,5
111,es krim,5
111,cendol,5
111,es campur,5
111,teh,5
111,kopi,5
111,bubble tea,5
111,soda/soft drink,5
111,susu,5
111,jus buah,5
112,mie-miean,5
112,bakso/batagor/siomay,5
112,bubur,5
112,ayam bakar/goreng/fried chicken,5
112,buah potong/rujak,5
112,sate,5
112,gorengan lain,5
112,teh,5
112,kopi,5
112,bubble tea,5
113,bakso/batagor/siomay,5
113,bubur,5
113,kue-kue,5
113,sate,5
113,gorengan lain,5
113,cendol,5
113,es campur,5
113,es doger,5
113,kopi,5
113,bubble tea,5
113,jus buah,5
114,nasi goreng,5
114,mie-miean,5
114,bakso/batagor/siomay,5
114,bubur,5
114,sate,5
114,kopi,5
114,jus buah,5
115,nasi goreng,5
115,mie kuah,5
115,mie-miean,5
115,bakso/batagor/siomay,5
115,gorengan lain,5
115,cendol,5
115,es campur,5
115,es doger,5
115,teh,5
115,kopi,5
115,susu,5
116,nasi goreng,5
116,bakso/batagor/siomay,5
116,sate,5
116,jus buah,5
117,nasi goreng,5
117,bakso/batagor/siomay,5
117,ayam bakar/goreng/fried chicken,5
117,buah potong/rujak,5
117,tahu,5
117,jus buah,5
118,bakso/batagor/siomay,5
118,sate,5
118,bubble tea,5
119,nasi goreng,5
119,nasi-nasian,5
119,bakso/batagor/siomay,5
119,buah potong/rujak,5
119,roti bakar/kukus,5
119,sate,5
119,es campur,5
119,teh,5
119,bubble tea,5
119,jus buah,5
120,nasi goreng,5
120,mie-miean,5
120,ayam bakar/goreng/fried chicken,5
120,roti bakar/kukus,5
120,sate,5
120,gorengan lain,5
120,soto/sop/makanan berkuah lainnya,5
120,cendol,5
120,es campur,5
120,es doger,5
120,teh,5
121,nasi goreng,5
121,bakso/batagor/siomay,5
121,bubur,5
121,ayam bakar/goreng/fried chicken,5
121,sate,5
121,gorengan lain,5
121,teh,5
121,kopi,5
121,air kelapa,5
122,bakso/batagor/siomay,5
122,es campur,5
122,bubble tea,5
123,mie-miean,5
123,bakso/batagor/siomay,5
123,kue-kue,5
123,es krim,5
123,es doger,5
123,teh,5
123,bubble tea,5
123,soda/soft drink,5
123,susu,5
123,jus buah,5
124,nasi goreng,5
