userid,foodanddrinkname,rating
46,nasi goreng,5
46,mie kuah,1
46,nasi,1
46,mie,1
46,bakso,5
46,bubur,1
46,ayam,1
46,kue,1
46,buah,1
46,roti,1
46,jagung,1
46,kacang,1
46,tahu,1
46,sate,1
46,gorengan kering,5
46,es krim,1
46,ubi,1
46,luar negeri,1
46,gorengan basah,1
46,berkuah,1
46,cendol,1
46,es campur,1
46,bubble tea,1
46,susu,1
46,jus buah,1
46,soft drink,1
46,es doger,1
46,teh,5
46,kopi,5
46,air mineral,1
46,air kelapa,1
47,nasi goreng,5
47,mie kuah,5
47,nasi,1
47,mie,5
47,bakso,5
47,bubur,5
47,ayam,5
47,kue,5
47,buah,5
47,roti,1
47,jagung,1
47,kacang,1
47,tahu,1
47,sate,1
47,gorengan kering,5
47,es krim,5
47,ubi,1
47,luar negeri,1
47,gorengan basah,1
47,berkuah,1
47,cendol,1
47,es campur,5
47,bubble tea,1
47,susu,5
47,jus buah,5
47,soft drink,5
47,es doger,1
47,teh,5
47,kopi,5
47,air mineral,1
47,air kelapa,1
48,nasi goreng,5
48,mie kuah,1
48,nasi,1
48,mie,5
48,bakso,5
48,bubur,5
48,ayam,5
48,kue,5
48,buah,1
48,roti,1
48,jagung,1
48,kacang,1
48,tahu,1
48,sate,5
48,gorengan kering,1
48,es krim,1
48,ubi,1
48,luar negeri,1
48,gorengan basah,1
48,berkuah,1
48,cendol,5
48,es campur,5
48,bubble tea,1
48,susu,5
48,jus buah,5
48,soft drink,5
48,es doger,5
48,teh,5
48,kopi,5
48,air mineral,1
48,air kelapa,1
51,nasi goreng,1
51,mie kuah,1
51,nasi,1
51,mie,5
51,bakso,5
51,bubur,5
51,ayam,5
51,kue,5
51,buah,1
51,roti,5
51,jagung,1
51,kacang,1
51,tahu,5
51,sate,5
51,gorengan kering,5
51,es krim,5
51,ubi,1
51,luar negeri,1
51,gorengan basah,1
51,berkuah,1
51,cendol,5
51,es campur,5
51,bubble tea,5
51,susu,5
51,jus buah,5
51,soft drink,1
51,es doger,5
51,teh,5
51,kopi,1
51,air mineral,1
51,air kelapa,1
52,nasi goreng,5
52,mie kuah,1
52,nasi,1
52,mie,1
52,bakso,5
52,bubur,5
52,ayam,5
52,kue,5
52,buah,5
52,roti,5
52,jagung,5
52,kacang,5
52,tahu,5
52,sate,5
52,gorengan kering,5
52,es krim,5
52,ubi,5
52,luar negeri,1
52,gorengan basah,1
52,berkuah,1
52,cendol,5
52,es campur,1
52,bubble tea,1
52,susu,1
52,jus buah,1
52,soft drink,1
52,es doger,1
52,teh,5
52,kopi,1
52,air mineral,1
52,air kelapa,1
54,nasi goreng,5
54,mie kuah,1
54,nasi,5
54,mie,5
54,bakso,5
54,bubur,1
54,ayam,5
54,kue,1
54,buah,5
54,roti,5
54,jagung,1
54,kacang,1
54,tahu,1
54,sate,5
54,gorengan kering,1
54,es krim,5
54,ubi,1
54,luar negeri,1
54,gorengan basah,5
54,berkuah,1
54,cendol,1
54,es campur,5
54,bubble tea,1
54,susu,5
54,jus buah,5
54,soft drink,1
54,es doger,5
54,teh,5
54,kopi,1
54,air mineral,1
54,air kelapa,1
55,nasi goreng,1
55,mie kuah,5
55,nasi,1
55,mie,5
55,bakso,5
55,bubur,5
55,ayam,1
55,kue,5
55,buah,1
