No,data
136,gorengan lain
136,soto/sop/makanan berkuah lainnya
136,es doger
137,nasi goreng
137,mie-miean
137,bakso/batagor/siomay
137,bubur
137,jagung
137,sate
137,gorengan lain
137,cendol
137,es doger
138,bakso/batagor/siomay
138,bubur
138,cendol
138,es campur
139,nasi goreng
139,bubur
139,soto/sop/makanan berkuah lainnya
139,es campur
140,nasi goreng
140,nasi-nasian
140,mie-miean
140,bubur
140,ayam bakar/goreng/fried chicken
140,kue-kue
140,buah potong/rujak
140,roti bakar/kukus
140,es krim
140,tahu
140,sate
140,gorengan lain
140,soto/sop/makanan berkuah lainnya
140,es campur
140,teh
140,kopi
140,bubble tea
140,jus buah
141,nasi goreng
141,mie kuah
141,nasi-nasian
141,mie-miean
141,bakso/batagor/siomay
141,ayam bakar/goreng/fried chicken
141,kue-kue
141,buah potong/rujak
141,roti bakar/kukus
141,es krim
141,tahu
141,sate
141,gorengan lain
141,soto/sop/makanan berkuah lainnya
141,cendol
141,es campur
141,teh
141,bubble tea
141,soda/soft drink
141,jus buah
142,bakso/batagor/siomay
142,bubur
142,buah potong/rujak
142,sate
142,jus buah
143,mie-miean
143,bakso/batagor/siomay
143,sate
143,gorengan lain
143,martabak
143,bubble tea
144,nasi goreng
144,mie-miean
144,ayam bakar/goreng/fried chicken
144,sate
144,gorengan lain
144,teh
145,nasi goreng
145,bakso/batagor/siomay
145,sate
145,teh
146,nasi goreng
146,bakso/batagor/siomay
146,ayam bakar/goreng/fried chicken
146,cendol
146,es doger
147,nasi goreng
147,mie-miean
147,bakso/batagor/siomay
147,bubur
147,kue-kue
147,sate
147,jus buah
148,mie-miean
148,bakso/batagor/siomay
148,bubur
148,tahu
148,sate
148,cendol
148,es doger
149,nasi goreng
149,mie kuah
149,nasi-nasian
149,mie-miean
149,bakso/batagor/siomay
149,bubur
149,ayam bakar/goreng/fried chicken
149,kue-kue
149,buah potong/rujak
149,roti bakar/kukus
149,es krim
149,tahu
149,sate
149,gorengan lain
149,soto/sop/makanan berkuah lainnya
149,es campur
149,teh
149,kopi
149,susu
149,jus buah
150,bakso/batagor/siomay
150,bubur
150,sate
150,teh
151,mie-miean
151,bubur
151,ayam bakar/goreng/fried chicken
151,sate
151,soto/sop/makanan berkuah lainnya
151,teh
152,nasi goreng
152,mie kuah
152,bakso/batagor/siomay
152,cendol
152,es campur
152,teh
153,nasi-nasian
153,teh
154,bakso/batagor/siomay
154,es doger
154,jus buah
155,nasi goreng
155,mie kuah
155,bubur
155,sate
155,soto/sop/makanan berkuah lainnya
155,minuman air
156,nasi goreng
156,bakso/batagor/siomay
156,ayam bakar/goreng/fried chicken
156,jagung
156,sate
156,gorengan lain
156,soto/sop/makanan berkuah lainnya
156,cendol
156,teh
156,kopi
156,bubble tea
156,soda/soft drink
156,susu
156,jus buah
157,nasi goreng
157,bakso/batagor/siomay
157,sate
157,teh
158,nasi goreng
158,bakso/batagor/siomay
158,bubur
158,ayam bakar/goreng/fried chicken
158,kue-kue
158,gorengan lain
158,soto/sop/makanan berkuah lainnya
158,teh
159,nasi goreng
159,bakso/batagor/siomay
159,gorengan lain
159,cendol
159,es campur
159,kopi
159,bubble tea
159,susu
160,nasi goreng
160,bakso/batagor/siomay
160,ayam bakar/goreng/fried chicken
160,teh
160,bubble tea
160,soda/soft drink
160,susu
161,nasi goreng
161,mie kuah
161,bakso/batagor/siomay
161,bubur
161,ayam bakar/goreng/fried chicken
161,roti bakar/kukus
161,sate
161,teh
161,jus buah
162,nasi goreng
162,bakso/batagor/siomay
162,gorengan lain
162,es campur
162,es doger
162,jus buah
163,nasi goreng
163,buah potong/rujak
163,es krim
163,sate
163,teh
163,kopi
163,bubble tea
163,susu
164,mie-miean
164,ayam bakar/goreng/fried chicken
164,kue-kue
164,gorengan lain
164,kopi
165,nasi goreng
165,mie kuah
165,bubur
165,sate
165,soto/sop/makanan berkuah lainnya
165,teh
165,minuman air
166,mie kuah
166,mie-miean
166,bakso/batagor/siomay
166,bubur
166,ayam bakar/goreng/fried chicken
166,sate
166,cendol
166,es campur
166,jus buah
167,bakso/batagor/siomay
167,bubur
167,sate
167,gorengan lain
167,soto/sop/makanan berkuah lainnya
167,teh
167,kopi
167,jus buah
167,minuman air
168,mie kuah
168,bakso/batagor/siomay
168,tahu
168,soto/sop/makanan berkuah lainnya
168,minuman air
169,nasi goreng
169,nasi-nasian
169,mie-miean
169,bakso/batagor/siomay
169,soto/sop/makanan berkuah lainnya
169,cendol
169,es campur
169,es doger
170,nasi goreng
170,mie-miean
170,bakso/batagor/siomay
170,bubur
170,roti bakar/kukus
170,sate
170,gorengan lain
170,cendol
170,es doger
171,nasi goreng
171,mie kuah
171,mie-miean
171,bubur
171,kue-kue
171,buah potong/rujak
171,jagung
171,kacang
171,ubi
171,tahu
171,gorengan lain
171,cendol
171,es doger
171,teh
171,jus buah
171,minuman air
172,nasi goreng
172,soda/soft drink
173,nasi goreng
173,mie kuah
173,nasi-nasian
173,mie-miean
173,bakso/batagor/siomay
173,bubur
173,ayam bakar/goreng/fried chicken
173,kue-kue
173,buah potong/rujak
173,roti bakar/kukus
173,es krim
173,jagung
173,kacang
173,ubi
173,tahu
173,sate
173,gorengan lain
173,soto/sop/makanan berkuah lainnya
173,es campur
173,kopi
173,bubble tea
173,jus buah
174,nasi goreng
174,mie kuah
174,bakso/batagor/siomay
174,bubur
174,gorengan lain
174,es campur
174,teh
174,kopi
174,bubble tea
174,soda/soft drink
174,jus buah
175,nasi goreng
175,mie kuah
